Customer_num,recommendedProducts
C_1011348,P_23572|P_33506|P_11672
C_1011745,P_21295|P_58|P_3365
C_1012143,P_15300|P_3379|P_31471
C_101240,P_30945|P_4575|P_42337
C_1012445,P_7819|P_12777|P_14591
C_1012518,P_471|P_697|P_2412
C_1012532,P_14546|P_24677|P_9168
C_1012915,P_31643|P_27047|P_28909
C_101343,P_7819|P_14838|P_9459
C_1013840,P_8973|P_19610|P_25896
C_1013874,P_9168|P_27450|P_4335
C_1013919,P_44255|P_7819|P_44474
C_1014004,P_13565|P_13568|P_34411
C_1014074,P_14546|P_14591|P_4822
C_1014213,P_7819|P_12777|P_14591
C_1014218,P_14546|P_12777|P_4919
C_1014737,P_12777|P_14546|P_7819
C_101526,P_26686|P_9556|P_31998
C_1015372,P_12777|P_40519|P_14546
C_1015942,P_40491|P_6366|P_33552
C_1015975,P_37296|P_19773|P_12990
C_1016469,P_7819|P_12777|P_14546
C_1016605,P_7819|P_9168|P_14546
C_1016713,P_7819|P_14546|P_9459
C_1016727,P_14546|P_7819|P_12777
C_10169,P_12742|P_14450|P_37308
C_1016953,P_2211|P_16717|P_14546
C_101696,P_7819|P_14546|P_12777
C_1017231,P_12777|P_14546|P_2342
C_1017706,P_2108|P_7819|P_19715
C_1017771,P_9432|P_41905|P_12777
C_1018162,P_31424|P_14546|P_12777
C_1018383,P_40519|P_2718|P_12256
C_1018473,P_44256|P_14546|P_44254
C_1018556,P_7819|P_14546|P_18396
C_1018584,P_7819|P_14546|P_12777
C_101880,P_16717|P_15307|P_30644
C_1018936,P_7819|P_4822|P_9169
C_1019113,P_6139|P_15288|P_3903
C_1019366,P_12777|P_7819|P_14546
C_1019505,P_20467|P_30004|P_31652
C_10196,P_7819|P_14546|P_4822
C_1020227,P_14546|P_14838|P_14591
C_1020395,P_14546|P_14591|P_14838
C_1020417,P_17406|P_38097|P_12971
C_1020917,P_30392|P_17670|P_17673
C_1021672,P_4822|P_9168|P_12777
C_1021751,P_12777|P_14591|P_14838
C_1021877,P_12777|P_14546|P_17406
C_1022050,P_13963|P_44757|P_25875
C_1022204,P_7819|P_40519|P_12777
C_1022232,P_31711|P_22245|P_31975
C_1022459,P_2699|P_2102|P_15473
C_1022774,P_7819|P_14546|P_4919
C_1023053,P_35379|P_36299|P_10144
C_1023065,P_7819|P_12777|P_14546
C_102354,P_14546|P_7819|P_14591
C_1024145,P_12777|P_458|P_4822
C_1024213,P_7819|P_14546|P_14838
C_1024240,P_7819|P_14546|P_12777
C_1024757,P_7819|P_4822|P_14591
C_1025250,P_14838|P_14591|P_9459
C_1025532,P_4822|P_8625|P_4919
C_1025556,P_14546|P_12777|P_9510
C_1025751,P_29007|P_11988|P_29006
C_102585,P_12777|P_14591|P_14838
C_1026324,P_7819|P_27571|P_12777
C_1026694,P_21295|P_58|P_3365
C_1026882,P_14591|P_12777|P_14838
C_1027099,P_1926|P_10052|P_30644
C_102740,P_14546|P_14591|P_14838
C_1027824,P_684|P_1926|P_9362
C_1027884,P_35303|P_34756|P_35341
C_1027963,P_7819|P_12777|P_2341
C_1028330,P_4298|P_4299|P_4300
C_1028378,P_31707|P_37586|P_28237
C_1028404,P_18292|P_7819|P_14546
C_1028718,P_4822|P_14546|P_16717
C_1029089,P_7819|P_14546|P_14595
C_1029183,P_7819|P_24677|P_2541
C_102924,P_44182|P_24677|P_32245
C_1029259,P_7819|P_14546|P_12777
C_1029295,P_30643|P_4142|P_8398
C_1029518,P_7819|P_4822|P_14546
C_1029774,P_40519|P_7819|P_12777
C_1030016,P_18079|P_41756|P_9337
C_1030114,P_7819|P_14546|P_9169
C_1030140,P_14546|P_7819|P_12777
C_1030240,P_12277|P_41760|P_15426
C_1030258,P_31643|P_27047|P_36299
C_1030656,P_44256|P_44268|P_44254
C_1030964,P_4822|P_7819|P_14546
C_1030995,P_957|P_2818|P_40519
C_1031309,P_12777|P_14591|P_9510
C_1031423,P_9169|P_16717|P_14838
C_1031474,P_7819|P_14546|P_13726
C_1032169,P_1373|P_236|P_4335
C_1032532,P_7819|P_14546|P_4822
C_1033453,P_12777|P_14546|P_14591
C_1033785,P_25794|P_30644|P_25790
C_1034007,P_7819|P_14546|P_12777
C_1034594,P_7819|P_14546|P_12777
C_1034741,P_7819|P_14546|P_12777
C_1035041,P_7819|P_14591|P_14838
C_1035089,P_21010|P_7819|P_14546
C_1035392,P_31561|P_13275|P_34319
C_1035603,P_14546|P_7983|P_9510
C_1035867,P_5022|P_5023|P_14629
C_1035946,P_18396|P_7819|P_14591
C_1036193,P_9168|P_14546|P_24677
C_1036703,P_7819|P_14546|P_12777
C_1037074,P_44256|P_44474|P_44255
C_1037222,P_14546|P_12777|P_14591
C_1037287,P_17038|P_13316|P_15376
C_1037548,P_14838|P_7983|P_7976
C_1037599,P_2638|P_31574|P_35915
C_1037860,P_7819|P_2342|P_4822
C_1038059,P_14546|P_14595|P_14838
C_1038863,P_4822|P_4919|P_14838
C_103887,P_44104|P_6025|P_17292
C_1039042,P_20318|P_4232|P_18236
C_1039848,P_36269|P_36093|P_2220
C_1039864,P_471|P_458|P_457
C_1040137,P_14546|P_4919|P_9168
C_1040199,P_5407|P_37614|P_18538
C_104022,P_7819|P_14546|P_44458
C_1040243,P_7819|P_14591|P_14546
C_1040351,P_2211|P_16717|P_25749
C_1040498,P_8625|P_12777|P_7819
C_1041030,P_7819|P_14546|P_12777
C_1041278,P_14546|P_12777|P_4822
C_1041479,P_25159|P_11224|P_16486
C_1041581,P_12777|P_14546|P_16717
C_1041586,P_7819|P_14546|P_12777
C_1042052,P_7819|P_14546|P_16717
C_1042066,P_7819|P_12777|P_20204
C_1042158,P_14546|P_18396|P_7819
C_104218,P_25393|P_41833|P_4875
C_1042181,P_7819|P_14546|P_7937
C_1042700,P_13570|P_13568|P_34411
C_1043247,P_7819|P_14546|P_12777
C_1043269,P_18531|P_18530|P_18532
C_1044045,P_38670|P_20296|P_20301
C_1044402,P_7819|P_1440|P_7323
C_104442,P_4822|P_7819|P_15307
C_1044466,P_14546|P_870|P_8524
C_1044659,P_44580|P_41080|P_951
C_1044706,P_14546|P_12777|P_14591
C_1045955,P_12777|P_7819|P_14546
C_1045982,P_40519|P_8625|P_23108
C_1045989,P_4822|P_2341|P_2342
C_1046064,P_12777|P_7819|P_14546
C_1046333,P_14546|P_12777|P_9459
C_1046682,P_40154|P_1830|P_8584
C_1047053,P_7819|P_14546|P_14591
C_1047250,P_7819|P_12777|P_14595
C_1047365,P_12777|P_7819|P_19774
C_104744,P_8217|P_22426|P_17359
C_1047702,P_14546|P_12777|P_14591
C_104796,P_14546|P_4822|P_7819
C_1048043,P_37656|P_9781|P_37666
C_1048507,P_7407|P_11994|P_33506
C_1048620,P_28606|P_33729|P_16810
C_1048750,P_14546|P_7819|P_12777
C_1048762,P_6888|P_8380|P_13587
C_1048847,P_14546|P_9168|P_1926
C_1049101,P_12777|P_16717|P_14591
C_1049134,P_19554|P_28302|P_29409
C_104955,P_7819|P_12777|P_6454
C_1049689,P_34896|P_32270|P_25927
C_1049710,P_14546|P_14591|P_4822
C_104984,P_15054|P_5303|P_18917
C_1050245,P_6444|P_1644|P_43849
C_105049,P_4191|P_745|P_743
C_1050524,P_7819|P_4822|P_14546
C_1050596,P_2799|P_40519|P_15307
C_1050655,P_7819|P_9168|P_12777
C_1050735,P_40591|P_9168|P_7819
C_1050872,P_14546|P_12777|P_4822
C_1051106,P_7819|P_14546|P_9459
C_1051128,P_14897|P_28669|P_37643
C_1051130,P_4822|P_7819|P_8625
C_1051577,P_6650|P_30809|P_18034
C_1052269,P_12777|P_14591|P_14838
C_1052343,P_14546|P_14591|P_14838
C_1052642,P_26386|P_7866|P_11438
C_1052882,P_25875|P_9942|P_42337
C_1053050,P_7819|P_14546|P_9168
C_1053223,P_19924|P_21608|P_5841
C_1053539,P_7201|P_35058|P_20318
C_1053760,P_4822|P_17038|P_7819
C_1053782,P_7819|P_14546|P_40519
C_1053875,P_4822|P_7819|P_14546
C_1054140,P_7819|P_12777|P_17726
C_1054495,P_33338|P_29847|P_34277
C_105471,P_34810|P_34789|P_34811
C_1055394,P_7834|P_11373|P_43849
C_1055473,P_11972|P_40167|P_36266
C_1055792,P_14546|P_12777|P_7819
C_1055796,P_4822|P_17039|P_14546
C_1056042,P_7819|P_12777|P_14546
C_1056803,P_30644|P_30643|P_18177
C_105711,P_7819|P_4822|P_15307
C_1057288,P_14546|P_12777|P_14838
C_1057458,P_7819|P_12777|P_14546
C_1057467,P_14546|P_12777|P_14591
C_1057819,P_28702|P_17293|P_41469
C_1058368,P_37538|P_13925|P_18049
C_105838,P_37214|P_41134|P_34633
C_1058751,P_7819|P_12777|P_14591
C_1059311,P_21295|P_58|P_3365
C_1059470,P_471|P_7819|P_4822
C_1059745,P_7819|P_7686|P_12777
C_1059846,P_14829|P_14826|P_12846
C_1060374,P_44256|P_44458|P_44439
C_1060408,P_7819|P_14546|P_12777
C_1060706,P_7819|P_12777|P_14591
C_106072,P_31311|P_313|P_22273
C_1060923,P_7819|P_14546|P_12777
C_1061226,P_7819|P_14546|P_4919
C_1061657,P_14546|P_12777|P_4822
C_1061748,P_25458|P_7235|P_27531
C_1061957,P_9678|P_801|P_14546
C_106197,P_7819|P_12777|P_14591
C_1062767,P_7819|P_12777|P_9168
C_1062799,P_6869|P_16210|P_40694
C_1062966,P_7819|P_14838|P_33819
C_1063210,P_7819|P_14546|P_14838
C_1063348,P_14546|P_12777|P_14591
C_1063727,P_4822|P_2342|P_14546
C_1063746,P_34729|P_1562|P_17970
C_1063864,P_38105|P_38111|P_38110
C_1064144,P_14546|P_14591|P_7819
C_106457,P_12001|P_6047|P_6688
C_1064843,P_29723|P_4999|P_20970
C_1065366,P_7819|P_14546|P_12777
C_1065789,P_17960|P_7819|P_14546
C_1065831,P_10185|P_7118|P_7114
C_106589,P_14546|P_12777|P_14838
C_1066292,P_14546|P_14591|P_12777
C_1066301,P_14838|P_14591|P_9459
C_1066306,P_14546|P_7819|P_9168
C_1066442,P_44308|P_44198|P_44256
C_106706,P_14546|P_7819|P_14591
C_1067098,P_7819|P_4822|P_14591
C_1067126,P_40519|P_14546|P_7819
C_1067260,P_20231|P_26112|P_11008
C_1067309,P_37301|P_5159|P_25088
C_1067533,P_7819|P_14546|P_4822
C_1067663,P_24677|P_27450|P_4335
C_1068177,P_9168|P_4919|P_14546
C_1068246,P_7819|P_14546|P_12777
C_1068409,P_26208|P_4142|P_5819
C_1068429,P_14546|P_19715|P_7819
C_1068470,P_14546|P_12777|P_9459
C_1068826,P_15937|P_7819|P_28919
C_1068995,P_12777|P_14546|P_14591
C_1069046,P_7819|P_12777|P_42825
C_1069390,P_19360|P_11628|P_13545
C_1069470,P_7819|P_14546|P_12777
C_1069631,P_4919|P_7819|P_14546
C_1069649,P_11373|P_7819|P_4736
C_1069779,P_7244|P_7241|P_1926
C_1069818,P_14546|P_14591|P_14595
C_1070326,P_5819|P_8606|P_43930
C_107035,P_7819|P_14546|P_12777
C_1070989,P_7819|P_12777|P_14591
C_107100,P_7819|P_12777|P_14546
C_1071074,P_9542|P_608|P_34833
C_1071109,P_12777|P_14838|P_14595
C_1071346,P_14591|P_4822|P_14838
C_1071620,P_40519|P_8625|P_7819
C_1072287,P_7819|P_14546|P_14838
C_1072781,P_8625|P_40519|P_7819
C_1072795,P_4822|P_7819|P_40519
C_107281,P_37290|P_21476|P_21401
C_1073258,P_1326|P_35379|P_36299
C_107348,P_6055|P_37907|P_31416
C_1074087,P_40519|P_4822|P_15307
C_107409,P_15306|P_7819|P_4822
C_1074254,P_7819|P_4822|P_14546
C_1074302,P_12777|P_4822|P_7983
C_1074452,P_7819|P_14591|P_14595
C_1074994,P_12777|P_14546|P_7819
C_1075109,P_7819|P_4822|P_12777
C_10753,P_18333|P_11919|P_17052
C_1076219,P_7819|P_14546|P_697
C_1076415,P_18407|P_6237|P_13308
C_1076817,P_4822|P_9168|P_14546
C_1076870,P_7819|P_14591|P_2341
C_1076879,P_14546|P_15307|P_7819
C_1076984,P_7819|P_14546|P_14838
C_1077247,P_7819|P_14546|P_14591
C_107725,P_31643|P_27047|P_27062
C_1077589,P_24677|P_5192|P_21073
C_1077871,P_7819|P_12777|P_14591
C_1077960,P_14546|P_7819|P_44268
C_1078271,P_4301|P_4300|P_4297
C_1078302,P_12557|P_43924|P_11660
C_1078739,P_1128|P_1391|P_1388
C_1078820,P_18994|P_27719|P_21376
C_1078833,P_41149|P_6493|P_5384
C_1079094,P_2342|P_12256|P_15307
C_1079174,P_24721|P_9169|P_30644
C_1079198,P_4822|P_14591|P_4919
C_1079459,P_7819|P_14546|P_14591
C_1080213,P_14591|P_9459|P_4822
C_1080707,P_30320|P_14173|P_30315
C_108082,P_7819|P_4822|P_2341
C_1080957,P_827|P_7819|P_30999
C_1080985,P_43637|P_20500|P_1821
C_1081084,P_11859|P_2445|P_2471
C_1081191,P_5303|P_7552|P_16717
C_1081251,P_7819|P_4822|P_15307
C_1081821,P_7819|P_13316|P_17038
C_1082090,P_16717|P_1926|P_7819
C_1083007,P_8601|P_33479|P_26962
C_1083595,P_7819|P_16717|P_40519
C_1083762,P_16717|P_14546|P_4822
C_1084205,P_7819|P_14595|P_14838
C_1084338,P_7819|P_12777|P_15473
C_1084372,P_7819|P_12777|P_14546
C_1085495,P_31603|P_20688|P_30353
C_1085641,P_9169|P_12777|P_7819
C_1085880,P_7819|P_4822|P_12777
C_1086224,P_20786|P_18442|P_19142
C_1086310,P_16717|P_1926|P_7819
C_1086506,P_44452|P_27293|P_18396
C_1086935,P_7819|P_14546|P_12777
C_1087473,P_12777|P_7819|P_14546
C_1087794,P_29118|P_40157|P_30343
C_1087861,P_18208|P_37214|P_14009
C_1088267,P_31707|P_37586|P_28237
C_1088368,P_14546|P_12777|P_4822
C_1089304,P_5455|P_5453|P_14738
C_1089790,P_17454|P_35353|P_12673
C_1089805,P_7819|P_14546|P_14591
C_1089890,P_12777|P_14595|P_14838
C_109007,P_7819|P_12777|P_14591
C_1090117,P_38233|P_11298|P_22323
C_1090164,P_9741|P_15893|P_37
C_1090524,P_32186|P_11021|P_3341
C_1090842,P_4919|P_6375|P_18745
C_1091208,P_15761|P_20143|P_12990
C_109132,P_7819|P_14546|P_4919
C_1091332,P_19613|P_43340|P_44227
C_1091366,P_7819|P_14591|P_12777
C_1092640,P_33747|P_11988|P_11367
C_1092686,P_4822|P_14546|P_15307
C_1092859,P_30834|P_37189|P_34680
C_1092914,P_2342|P_7819|P_4822
C_1093067,P_14546|P_12777|P_14838
C_1093548,P_7819|P_14591|P_12777
C_1093640,P_14546|P_7819|P_12777
C_1093969,P_7819|P_12777|P_14591
C_1093976,P_12777|P_12846|P_14546
C_1094008,P_14546|P_12777|P_14591
C_1094574,P_41906|P_28680|P_43633
C_1094741,P_14591|P_9510|P_14838
C_1094850,P_17498|P_25495|P_26448
C_1095013,P_12777|P_14546|P_2342
C_1095875,P_19283|P_37610|P_30303
C_1095903,P_7819|P_3918|P_14546
C_1096148,P_7819|P_14838|P_4822
C_109638,P_7819|P_38304|P_12777
C_1096480,P_5895|P_22034|P_28729
C_1097240,P_27650|P_4664|P_30259
C_10973,P_14546|P_14838|P_14591
C_1097403,P_20986|P_19552|P_44628
C_1097452,P_3773|P_31750|P_31752
C_1097626,P_4822|P_14546|P_14591
C_1097786,P_12777|P_14546|P_14591
C_1098707,P_7819|P_14420|P_12777
C_1098728,P_7819|P_4822|P_15307
C_1098896,P_30004|P_20467|P_2211
C_1099185,P_7819|P_14546|P_12777
C_1099278,P_7244|P_8851|P_7241
C_109931,P_4822|P_15307|P_7819
C_1100479,P_32284|P_27650|P_1356
C_1100751,P_9169|P_4822|P_7819
C_1101155,P_4822|P_12256|P_2102
C_1101209,P_8625|P_7819|P_4822
C_1101318,P_4045|P_23655|P_17910
C_1101395,P_1926|P_19894|P_4411
C_1101631,P_25474|P_13447|P_225
C_1101700,P_18777|P_15793|P_27455
C_1102044,P_14546|P_4822|P_30644
C_1102323,P_3773|P_31698|P_30331
C_1102450,P_12777|P_14546|P_4822
C_1102662,P_7819|P_14546|P_12777
C_11027,P_10674|P_20204|P_25457
C_110293,P_4822|P_7819|P_9168
C_1102972,P_7819|P_14546|P_14591
C_1103906,P_16717|P_12777|P_4822
C_1104944,P_9169|P_7819|P_4822
C_1105178,P_4822|P_7819|P_15307
C_1105326,P_24677|P_16564|P_15307
C_1105690,P_7819|P_12777|P_14591
C_1106122,P_35378|P_41129|P_11511
C_1106236,P_15722|P_7819|P_14546
C_1106297,P_40491|P_6366|P_33552
C_1106313,P_7819|P_14546|P_12777
C_1106402,P_12777|P_44182|P_7819
C_1106580,P_4822|P_7819|P_17406
C_1106639,P_3209|P_25827|P_38121
C_1106811,P_4822|P_8625|P_7819
C_1106855,P_7819|P_12777|P_14591
C_1107095,P_7819|P_2342|P_40519
C_1107264,P_12777|P_14546|P_7819
C_1107281,P_30643|P_29640|P_41155
C_1107382,P_2342|P_15307|P_14546
C_1107608,P_4822|P_4919|P_15307
C_1107657,P_471|P_458|P_457
C_1107663,P_15687|P_10674|P_20204
C_1107684,P_20865|P_28381|P_41773
C_110774,P_14838|P_14591|P_14595
C_1107824,P_7819|P_14546|P_12777
C_1107853,P_254|P_33709|P_15304
C_1107954,P_41122|P_35324|P_7819
C_1108088,P_7819|P_12777|P_14546
C_1108112,P_14546|P_4822|P_7819
C_1108361,P_40589|P_40590|P_12777
C_1108515,P_14838|P_15869|P_4822
C_110893,P_14546|P_7819|P_4919
C_1109079,P_14838|P_14595|P_16717
C_1109199,P_7819|P_41857|P_4822
C_1109594,P_14546|P_12777|P_7819
C_1109682,P_34833|P_27280|P_15709
C_1109862,P_2211|P_14591|P_9169
C_1111168,P_4686|P_10404|P_33633
C_1111621,P_40157|P_29959|P_26844
C_1111806,P_7819|P_14546|P_12777
C_1112241,P_8625|P_40519|P_7819
C_1112355,P_7819|P_4218|P_15307
C_1112490,P_14546|P_7819|P_12777
C_1113116,P_12027|P_29018|P_28652
C_1113214,P_17560|P_5906|P_19278
C_1113232,P_15848|P_11401|P_28450
C_111326,P_7819|P_12777|P_9168
C_1113294,P_7819|P_12777|P_4822
C_1113785,P_8204|P_8203|P_2406
C_1113807,P_18531|P_18533|P_18532
C_1113835,P_44184|P_5803|P_38005
C_1113839,P_14546|P_7819|P_12777
C_1114300,P_14591|P_14838|P_7983
C_111434,P_7242|P_7241|P_7244
C_1114344,P_8134|P_12911|P_15360
C_1114370,P_44298|P_30857|P_18638
C_1114840,P_9963|P_40215|P_17444
C_1114923,P_31424|P_12777|P_13901
C_1114926,P_9678|P_41550|P_16012
C_1115114,P_44183|P_44185|P_5803
C_1115311,P_4822|P_9168|P_7819
C_1115347,P_9139|P_35344|P_41388
C_1115823,P_7819|P_12777|P_14591
C_1116089,P_14546|P_4822|P_2341
C_11162,P_8182|P_38860|P_28686
C_1116200,P_41827|P_30002|P_35599
C_1116258,P_12777|P_7819|P_14546
C_1116271,P_37589|P_18697|P_5093
C_111628,P_12777|P_4822|P_14591
C_1116720,P_7819|P_12777|P_14546
C_1116970,P_30691|P_20722|P_25794
C_1117283,P_14546|P_7819|P_8625
C_1117803,P_18073|P_14925|P_9680
C_1117940,P_4822|P_4919|P_8625
C_1118213,P_7819|P_14546|P_12777
C_1118280,P_31422|P_40733|P_20204
C_1118381,P_27531|P_33351|P_23649
C_1118435,P_31643|P_27047|P_10370
C_111869,P_33826|P_33824|P_27557
C_1118777,P_7819|P_14546|P_14591
C_1118999,P_14546|P_12777|P_14591
C_111922,P_41558|P_35341|P_25413
C_1119468,P_10799|P_22920|P_44274
C_1119530,P_14546|P_12777|P_14591
C_1119578,P_12777|P_14546|P_14838
C_1120042,P_7819|P_14546|P_745
C_1120453,P_14546|P_12777|P_16717
C_1120714,P_1892|P_30343|P_1240
C_1120793,P_28678|P_16717|P_34582
C_1120836,P_27517|P_36095|P_34799
C_112098,P_17011|P_10040|P_2417
C_1121104,P_14546|P_12777|P_14591
C_1121351,P_12777|P_7819|P_14546
C_1121702,P_17958|P_17959|P_8142
C_1121802,P_30595|P_12334|P_7819
C_1121822,P_7819|P_14546|P_9510
C_1122048,P_6227|P_12777|P_19384
C_1122468,P_36062|P_13649|P_12795
C_1122832,P_26197|P_18710|P_2463
C_1123276,P_14546|P_7819|P_4919
C_1123357,P_7819|P_14546|P_12777
C_112391,P_7819|P_14546|P_9459
C_1124485,P_14546|P_7819|P_12777
C_112492,P_35000|P_37201|P_37204
C_1124936,P_14546|P_7819|P_4822
C_1125333,P_33747|P_11367|P_11655
C_1125679,P_7819|P_12777|P_14591
C_1126071,P_44681|P_42824|P_28779
C_112646,P_7819|P_12777|P_14838
C_1126589,P_7819|P_12777|P_14838
C_1126724,P_14546|P_14838|P_7302
C_1127237,P_6055|P_25919|P_8970
C_11274,P_14546|P_7819|P_14591
C_1127542,P_21295|P_58|P_3365
C_1127834,P_13593|P_31512|P_4451
C_1128595,P_7819|P_14546|P_14591
C_1128690,P_7819|P_14546|P_12777
C_1128899,P_7819|P_12777|P_14591
C_112896,P_7819|P_14546|P_15473
C_1129243,P_14546|P_12777|P_14591
C_1129315,P_21295|P_58|P_3365
C_1129369,P_8839|P_5341|P_23259
C_1129395,P_25749|P_38199|P_30897
C_1129760,P_7819|P_12777|P_14546
C_1129866,P_41252|P_42461|P_10868
C_1130239,P_7819|P_12777|P_14546
C_1130495,P_29052|P_7819|P_4822
C_1130519,P_20692|P_32917|P_32933
C_1130563,P_15473|P_40519|P_4822
C_113066,P_14546|P_12777|P_14595
C_1130776,P_29116|P_43849|P_25895
C_1131076,P_10107|P_40655|P_3729
C_1131223,P_7819|P_14546|P_5667
C_1131376,P_12777|P_4822|P_2341
C_11314,P_11793|P_15015|P_17489
C_113142,P_4235|P_2428|P_10548
C_1131831,P_7819|P_14546|P_12777
C_1131882,P_4218|P_4822|P_7819
C_1131944,P_14546|P_12777|P_4822
C_1132260,P_826|P_14546|P_31606
C_1132679,P_30603|P_28778|P_21121
C_1132789,P_19321|P_35570|P_24510
C_1132826,P_7819|P_14591|P_16717
C_1132988,P_34761|P_34830|P_37668
C_1133097,P_7819|P_4822|P_3607
C_1133475,P_10956|P_30928|P_11994
C_1133691,P_8625|P_7819|P_14546
C_1133898,P_34833|P_2277|P_28282
C_1134191,P_40090|P_14788|P_4298
C_1134212,P_14222|P_7455|P_7819
C_1134392,P_39980|P_15893|P_37
C_1134876,P_28282|P_7819|P_12777
C_1135081,P_31370|P_25870|P_26088
C_113526,P_14275|P_20720|P_29175
C_1135293,P_7819|P_4822|P_14546
C_1135401,P_14546|P_12777|P_15307
C_1135507,P_4805|P_29991|P_4664
C_1135827,P_4822|P_23109|P_7819
C_1136280,P_334|P_2622|P_11706
C_1137221,P_44190|P_44192|P_14546
C_1137938,P_4822|P_15307|P_7819
C_1138110,P_4822|P_9168|P_7819
C_1138402,P_12777|P_14546|P_14591
C_1138540,P_14546|P_12777|P_14838
C_1138771,P_13364|P_13367|P_13370
C_1139117,P_744|P_745|P_16338
C_1139126,P_12777|P_7819|P_14546
C_11404,P_7819|P_14546|P_16717
C_1140480,P_30375|P_26088|P_6376
C_1140796,P_14950|P_37614|P_44374
C_1140867,P_7819|P_12777|P_14546
C_1141455,P_14546|P_12777|P_14591
C_1142126,P_31967|P_33348|P_26969
C_1142257,P_1373|P_236|P_4335
C_1142319,P_16802|P_18176|P_1644
C_1142483,P_26781|P_40588|P_31361
C_1143131,P_7819|P_14595|P_9459
C_1143506,P_7819|P_12777|P_14591
C_1143665,P_12777|P_14838|P_14591
C_1143949,P_15307|P_40519|P_4919
C_1144207,P_11671|P_34625|P_34624
C_1144221,P_6237|P_13308|P_6094
C_1144432,P_7819|P_12777|P_14546
C_1144560,P_32287|P_30990|P_26905
C_1144827,P_44290|P_414|P_12421
C_1145021,P_7819|P_14546|P_14591
C_1145188,P_458|P_460|P_459
C_1145240,P_38199|P_30897|P_25857
C_1145477,P_7819|P_14546|P_9169
C_1145696,P_7302|P_30644|P_40782
C_1145799,P_14595|P_7983|P_9510
C_114620,P_12777|P_7819|P_14591
C_1146316,P_7819|P_14546|P_12777
C_1146420,P_7407|P_41533|P_7819
C_1146892,P_7819|P_14546|P_12777
C_1147416,P_14629|P_27521|P_16964
C_1147616,P_15307|P_2342|P_40519
C_1147793,P_557|P_25768|P_518
C_1148058,P_12777|P_7819|P_14546
C_1148224,P_7819|P_4919|P_14546
C_1148548,P_41814|P_27060|P_44703
C_1148555,P_7819|P_14546|P_12777
C_1148732,P_32223|P_32291|P_27018
C_1148933,P_7819|P_12777|P_14591
C_1149026,P_1926|P_25710|P_40167
C_1149330,P_1926|P_4536|P_39620
C_1149381,P_4919|P_8850|P_6592
C_1149458,P_14647|P_20016|P_33735
C_1149607,P_32339|P_25920|P_16178
C_1149929,P_25915|P_42263|P_19894
C_1150271,P_12777|P_9510|P_7782
C_115044,P_12777|P_14591|P_14838
C_1150567,P_12777|P_14595|P_4822
C_1151310,P_26483|P_26479|P_40077
C_1151477,P_5341|P_18950|P_21244
C_1152136,P_14546|P_12777|P_9510
C_1152411,P_25794|P_33704|P_1310
C_1152621,P_7819|P_14546|P_12777
C_1152679,P_7819|P_14546|P_4822
C_115328,P_28270|P_2734|P_15021
C_1153289,P_4822|P_7819|P_12777
C_115332,P_14546|P_14591|P_14838
C_1153346,P_27450|P_4335|P_16884
